name,team,experience,ewa,salary
Marcus Morris,PHO,3,1.9,2164795
Giannis Antetokounmpo,MIL,1,4.6,1873240
Mario Chalmers,MIA,6,1.5,4150000
Mo Williams,CHO,11,4.0,3750000
Ramon Sessions,WAS,7,-0.9,2123733
Mike Scott,ATL,2,1.9,3333333
Luis Scola,HOU,7,3.2,4508504
Trevor Booker,UTA,4,1.8,4887500
Greivis Vasquez,TOR,4,1.6,6500000
Devin Harris,DAL,10,2.9,4140721
Andre Iguodala,GSW,10,1.0,12000000
Cory Joseph,SAS,3,2.6,1290400
Anthony Morrow,OKC,6,1.7,3344000
Michael Kidd-Gilchrist,CHO,2,3.0,5190231
Shawn Marion,CLE,15,0.2,1448490
Wilson Chandler,DEN,7,2.2,6344163
Zaza Pachulia,MIL,11,1.7,5200000
Dion Waiters,OKC,2,0.1,4205318
Cody Zeller,CHO,1,2.0,4030600
Boris Diaw,SAS,11,1.0,7000000
Jeremy Lamb,OKC,2,1.4,2341929
Jarrett Jack,BRK,9,2.9,6300000
Jeremy Evans,UTA,4,,1750000
Beno Udrih,MEM,10,2.7,2123733
Evan Turner,BOS,4,0.9,3351755
Kevin Garnett,MIN,19,1.8,12000000
Aaron Brooks,CHI,6,2.1,1145685
Mike Dunleavy,CHI,12,0.5,3254618
Trey Burke,UTA,1,1.4,2548520
Bismack Biyombo,CHO,3,1.7,3161445
Ersan Ilyasova,MIL,6,1.4,8000000
C.J. Watson,IND,7,1.8,2046500
Tim Hardaway,NYK,1,0.9,1250640
Marcus Thornton,PHO,5,1.6,7787500
Jeff Adrien,HOU,4,,
Andre Miller,SAC,15,1.3,4875000
Lavoy Allen,IND,3,2.2,948163
Josh McRoberts,MIA,7,,5663088
O.J. Mayo,MIL,6,2.1,8000000
Jae Crowder,BOS,2,1.7,768202
Andrea Bargnani,NYK,8,,10000000
Terrence Ross,TOR,2,0.8,2897459
Jonas Jerebko,BOS,4,1.7,4500000
Jon Leuer,MEM,3,0.4,967500
Steven Adams,OKC,1,1.9,2184960
Avery Bradley,BOS,4,0.5,8000000
Brian Roberts,CHO,2,0.1,2793470
Nick Calathes,MEM,1,1.1,653331
Donatas Motiejunas,HOU,2,2.6,1639061
Marvin Williams,CHO,9,0.0,7000000
Shelvin Mack,ATL,,0.3,
Raymond Felton,DAL,9,,3715383
Jerryd Bayless,MIL,6,1.0,3000000
Pablo Prigioni,HOU,2,0.6,1662961
Matt Barnes,LAC,11,0.6,3396250
Elton Brand,ATL,,,2000000
Will Bynum,BOS,7,,
Nate Robinson,BOS,9,-0.2,
Jordan Farmar,LAC,7,0.0,
Harrison Barnes,GSW,2,2.5,2192970
Kevin Seraphin,WAS,4,1.2,3898691
Wesley Johnson,LAL,4,1.1,981084
Richard Jefferson,DAL,13,0.2,1448490
Mirza Teletovic,BRK,2,-0.3,3229050
Gary Neal,MIN,4,0.5,3250000
Patrick Beverley,HOU,2,0.4,661830
Thomas Robinson,DEN,2,0.4,3526480
Tyler Hansbrough,TOR,5,0.1,3254618
Glen Davis,ORL,7,0.0,1227985
Kendall Marshall,PHO,2,0.0,
Thabo Sefolosha,ATL,8,1.4,4000000
Dorell Wright,POR,10,0.6,3067500
Jimmer Fredette,NOP,3,-0.1,948163
Robert Sacre,LAL,2,0.3,895154
Martell Webster,WAS,9,,5497625
Jason Smith,NYK,6,0.2,3278000
Ronny Turiaf,PHI,9,,1500000
Larry Sanders,MIL,,0.0,
Maurice Harkless,ORL,2,-0.4,2080925
Chris Douglas-Roberts,BOS,,,
Xavier Henry,LAL,4,,
Austin Rivers,LAC,2,0.1,2339080
Dennis Schroeder,ATL,,2.4,1600760
Kyle Singler,OKC,2,-1.1,1045000
Joel Freeland,POR,2,0.2,2975000
Derrick Williams,SAC,3,0.5,4809840
Jared Dudley,MIL,7,1.8,4250000
Reggie Evans,SAC,12,0.2,1695635
Jeff Ayres,SAS,4,,1789375
Shawne Williams,NOP,7,0.3,1292066
Steve Novak,OKC,8,,
Kenyon Martin,MIL,14,,
Channing Frye,ORL,8,-1.8,8000000
E'Twaun Moore,CHI,3,,981802
Alonzo Gee,POR,5,1.0,1063384
Quincy Acy,NYK,2,0.3,789705
Nick Collison,OKC,10,-0.2,2757500
Archie Goodwin,PHO,1,,1112280
Jason Terry,HOU,15,0.8,5225000
Nazr Mohammed,CHI,16,,1448490
Mike Miller,MIA,14,-1.9,2793470
Caron Butler,DET,12,-1.4,4500000
